ID,Nhóm chức năng,Tên chức năng,Mô tả ngắn,Dev phụ trách,Ưu tiên,Độ khó,Trạng thái,Ngày bắt đầu (plan),Ngày kết thúc (plan),Ghi chú
A01,Auth & Identity,Đăng ký tài khoản cơ bản,"Form đăng ký với email, mật khẩu, họ tên, SĐT, chọn role ban đầu.",Dev A,P1,Dễ,,,,
A02,Auth & Identity,Đăng nhập / Đăng xuất,"Đăng nhập bằng email/mật khẩu, nhận JWT, logout xoá token.",Dev A,P1,Dễ,,,,
A03,Auth & Identity,Xác thực email (OTP mô phỏng),"Gửi mã xác thực tới email (mô phỏng), user nhập mã để kích hoạt tài khoản.",Dev A,P1,Trung bình,,,,
A04,Auth & Identity,Chống spam đăng ký,CAPTCHA đơn giản + rate limit theo IP khi đăng ký tài khoản.,Dev A,P1,Trung bình,,,,
A05,Auth & Identity,Quản lý hồ sơ cá nhân,Xem / chỉnh sửa thông tin cơ bản và avatar người dùng.,Dev A,P1,Dễ,,,,
A07,Auth & Identity,Trang KYC cho user,Form upload CCCD mặt trước/sau + ảnh selfie và thông tin cơ bản.,Dev A,P1,Trung bình,,,,
A08,Auth & Identity,Xử lý KYC backend,"Lưu dữ liệu KYC, set trạng thái PENDING/VERIFIED/REJECTED.",Dev A,P1,Trung bình,,,,
A09,Auth & Identity,Admin duyệt KYC,"Màn admin xem yêu cầu KYC, approve/reject kèm lý do.",Dev A,P1,Trung bình,,,,
A10,Auth & Identity,User đăng ký trở thành Freelancer,"Form khai báo skill, kinh nghiệm, portfolio để bật vai trò freelancer.",Dev A,P1,Trung bình,,,,
A11,Auth & Identity,User ứng tuyển vai trò Broker,"Form ứng tuyển Broker: kinh nghiệm BA/PM, link CV/LinkedIn.",Dev A,P1,Trung bình,,,,
A12,Auth & Identity,Admin duyệt đơn Broker,"Danh sách ứng tuyển Broker, admin approve/reject.",Dev A,P1,Trung bình,,,,
A13,Auth & Identity,Admin đánh dấu canBeStaff,Admin tick user đủ điều kiện có thể trở thành Staff giám sát.,Dev A,P1,Trung bình,,,,
A14,Auth & Identity,Phân quyền role & guard API,"Thiết lập RBAC, guard route theo role và quyền dự án.",Dev A,P1,Khó,,,,
A15,Auth & Identity,Màn Admin quản lý user,"List/filter user, xem chi tiết, ban/unban, reset mật khẩu.",Dev A,P1,Trung bình,,,,
B02,Client & Request Wizard,Wizard B1 – Chọn loại sản phẩm,"Bước chọn loại sản phẩm: website, landing, app, hệ thống quản lý...",Dev B,P1,Dễ,,,,
B03,Client & Request Wizard,Wizard B2 – Chọn lĩnh vực,"Bước chọn ngành: F&B, thời trang, giáo dục, dịch vụ...",Dev B,P1,Dễ,,,,
B04,Client & Request Wizard,Wizard B3 – Ngân sách & thời gian,Nhập ngân sách ước tính và deadline mong muốn.,Dev B,P1,Trung bình,,,,
B05,Client & Request Wizard,Wizard B4 – Chọn chức năng,"Checkbox chọn các chức năng mong muốn như đăng nhập, giỏ hàng, báo cáo...",Dev B,P1,Trung bình,,,,
B06,Client & Request Wizard,Wizard B5 – Mô tả ý tưởng,Client mô tả ý tưởng + upload tài liệu tham khảo.,Dev B,P1,Trung bình,,,,
B07,Client & Request Wizard,Lưu draft Request,Tự động lưu/gửi draft request để client quay lại chỉnh sửa.,Dev B,P1,Trung bình,,,,
B08,Client & Request Wizard,Gửi Project Request chính thức,"Gửi request, set trạng thái PENDING_BROKER, tạo log.",Dev B,P1,Trung bình,,,,
B09,Client & Request Wizard,Danh sách Request của Client,"List + filter các request theo trạng thái, phân trang.",Dev B,P1,Trung bình,,,,
B12,Client & Request Wizard,Client xem Spec + Milestone,Màn xem tài liệu Spec và danh sách milestone do Broker soạn.,Dev B,P1,Trung bình,,,,
B14,Client & Request Wizard,Client chấp nhận Spec,"Client bấm chấp nhận spec, lock version v1.0.",Dev B,P1,Trung bình,,,,
B15,Client & Request Wizard,Xem danh sách freelancer đề xuất,Hiển thị shortlist freelancer do module matching gợi ý.,Dev B,P1,Trung bình,,,,
B16,Client & Request Wizard,Flow mời freelancer,Client chọn 1–n freelancer từ shortlist và gửi lời mời tham gia.,Dev B,P1,Khó,,,,
C01,Broker & Matching & Contract,Dashboard Broker,Trang tổng quan request chờ xử lý cho Broker.,Dev C,P1,Dễ,,,,
C02,Broker & Matching & Contract,Broker nhận xử lý Request,"Flow assign Broker vào request, đổi trạng thái.",Dev C,P1,Dễ,,,,
C03,Broker & Matching & Contract,Chi tiết Request cho Broker,Xem thông tin wizard đầy đủ của request.,Dev C,P1,Dễ,,,,
C05,Broker & Matching & Contract,Soạn Project Spec,"Form viết overview, role hệ thống, chức năng, in-scope/out-of-scope.",Dev C,P1,Trung bình,,,,
C06,Broker & Matching & Contract,Quản lý Milestone trong Spec,"Thêm/sửa/xoá milestone, cost và thời gian dự kiến.",Dev C,P1,Trung bình,,,,
C07,Broker & Matching & Contract,Lưu version Spec,"Lưu draft, version hóa spec (v1.0, v1.1...).",Dev C,P1,Khó,,,,
C08,Broker & Matching & Contract,Gửi Spec cho Client duyệt,"Gửi spec để Client review, nhận kết quả accept hoặc yêu cầu sửa.",Dev C,P1,Khó,,,,
